,Title,Description,Short_description,Category,CategoryID
0,"Bank stocks lead Wall Street lower amid Syria tensions, Russia trade threat","NEW YORK (Reuters) - Financial stocks led a drop on Wall Street on Friday, as results from big banks failed to enthuse and geopolitical tensions in Syria and Russia further unnerved investors.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=G0SWmsbH8M8:33ar9b0m6EQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=G0SWmsbH8M8:33ar9b0m6EQ:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=G0SWmsbH8M8:33ar9b0m6EQ:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=G0SWmsbH8M8:33ar9b0m6EQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=G0SWmsbH8M8:33ar9b0m6EQ:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/G0SWmsbH8M8"" height=""1"" width=""1"" alt=""""/>","Financial stocks led a drop on Wall Street on Friday, as results from big banks failed to enthuse and geopolitical tensions in Syria and Russia further unnerved investors.",businessNews,0
1,Trade war backfire: Steel tariff shrapnel hits U.S. farmers,"KANE COUNTY, Ill. (Reuters) - Lucas Strom, who runs a century-old family farm in rural Illinois, canceled an order to buy a new $71,000 grain storage bin last month - after the seller raised the price 5 percent in a day.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=IcCT8ct9dWo:jH0mYilf2Lk:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=IcCT8ct9dWo:jH0mYilf2Lk:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=IcCT8ct9dWo:jH0mYilf2Lk:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=IcCT8ct9dWo:jH0mYilf2Lk:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=IcCT8ct9dWo:jH0mYilf2Lk:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/IcCT8ct9dWo"" height=""1"" width=""1"" alt=""""/>","Lucas Strom, who runs a century-old family farm in rural Illinois, canceled an order to buy a new $71,000 grain storage bin last month - after the seller raised the price 5 percent in a day.",businessNews,0
2,U.S. bank executives see delayed boost from tax overhaul,"NEW YORK (Reuters) - Banks have not reaped the full benefit of U.S. tax cuts, Wall Street executives said on Friday after a string of quarterly results, with expected business growth and higher consumer spending yet to materialize.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=5a03Bd5Ukl0:TGC4nJJnkyY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=5a03Bd5Ukl0:TGC4nJJnkyY:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=5a03Bd5Ukl0:TGC4nJJnkyY:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=5a03Bd5Ukl0:TGC4nJJnkyY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=5a03Bd5Ukl0:TGC4nJJnkyY:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/5a03Bd5Ukl0"" height=""1"" width=""1"" alt=""""/>","Banks have not reaped the full benefit of U.S. tax cuts, Wall Street executives said on Friday after a string of quarterly results, with expected business growth and higher consumer spending yet to materialize.",businessNews,0
3,Wells Fargo faces $1 billion fine from loan abuses,"(Reuters) - Two U.S. regulators have proposed Wells Fargo & Co  pay $1 billion in penalties to resolve probes into auto insurance and mortgage lending abuses at the third largest U.S. bank, overshadowing its first quarter results.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=NQDCk4oW0xg:on4nnZIHetc:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=NQDCk4oW0xg:on4nnZIHetc:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=NQDCk4oW0xg:on4nnZIHetc:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=NQDCk4oW0xg:on4nnZIHetc:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=NQDCk4oW0xg:on4nnZIHetc:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/NQDCk4oW0xg"" height=""1"" width=""1"" alt=""""/>","Two U.S. regulators have proposed Wells Fargo & Co  pay $1 billion in penalties to resolve probes into auto insurance and mortgage lending abuses at the third largest U.S. bank, overshadowing its first quarter results.",businessNews,0
4,"Musk insists Tesla does not need more capital, predicts profit soon","(Reuters) - Tesla Inc  will be profitable in the third and fourth quarters of this year and will not have to raise any money from investors, billionaire Chief Executive Elon Musk said on Friday, driving shares in the electric carmaker higher.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=zo3y0Mf7Zjo:hQ02jg-2APU:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=zo3y0Mf7Zjo:hQ02jg-2APU:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=zo3y0Mf7Zjo:hQ02jg-2APU:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=zo3y0Mf7Zjo:hQ02jg-2APU:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=zo3y0Mf7Zjo:hQ02jg-2APU:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/zo3y0Mf7Zjo"" height=""1"" width=""1"" alt=""""/>","Tesla Inc  will be profitable in the third and fourth quarters of this year and will not have to raise any money from investors, billionaire Chief Executive Elon Musk said on Friday, driving shares in the electric carmaker higher.",businessNews,0
5,Bratz maker's CEO bids $890 million for Toys 'R' Us stores,"(Reuters) - Bratz doll maker MGA Entertainment said on Friday its billionaire founder and chief executive, Isaac Larian, had made an $890 million bid for Toys 'R' Us stores in the United States and Canada.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=xe8bEx_LW4I:mjPqCSLeO8o:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=xe8bEx_LW4I:mjPqCSLeO8o:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=xe8bEx_LW4I:mjPqCSLeO8o:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=xe8bEx_LW4I:mjPqCSLeO8o:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=xe8bEx_LW4I:mjPqCSLeO8o:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/xe8bEx_LW4I"" height=""1"" width=""1"" alt=""""/>","Bratz doll maker MGA Entertainment said on Friday its billionaire founder and chief executive, Isaac Larian, had made an $890 million bid for Toys 'R' Us stores in the United States and Canada.",businessNews,0
6,JPMorgan profit just below estimates on weak investment banking,"(Reuters) - JPMorgan Chase & Co's  quarterly profit fell short of Wall Street expectations on Friday as lower revenue from investment banking ate into gains from stock trading and higher interest rates.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=l3qxaEtfiV4:BRxBvlfJOXI:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=l3qxaEtfiV4:BRxBvlfJOXI:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=l3qxaEtfiV4:BRxBvlfJOXI:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=l3qxaEtfiV4:BRxBvlfJOXI:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=l3qxaEtfiV4:BRxBvlfJOXI:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/l3qxaEtfiV4"" height=""1"" width=""1"" alt=""""/>",JPMorgan Chase & Co's  quarterly profit fell short of Wall Street expectations on Friday as lower revenue from investment banking ate into gains from stock trading and higher interest rates.,businessNews,0
7,"Wells Fargo CFO says government, not banks, should set gun policy","NEW YORK (Reuters) - Wells Fargo & Co  believes the U.S. government, rather than banks, should set rules to promote gun safety, its finance chief said on Friday.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=xkk2vSKA2Cg:EP_bGlxEbNs:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=xkk2vSKA2Cg:EP_bGlxEbNs:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=xkk2vSKA2Cg:EP_bGlxEbNs:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=xkk2vSKA2Cg:EP_bGlxEbNs:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=xkk2vSKA2Cg:EP_bGlxEbNs:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/xkk2vSKA2Cg"" height=""1"" width=""1"" alt=""""/>","Wells Fargo & Co  believes the U.S. government, rather than banks, should set rules to promote gun safety, its finance chief said on Friday.",businessNews,0
8,"Citigroup profit beats on strength in consumer banking, equity trading","(Reuters) - Citigroup Inc  reported a higher-than-expected quarterly profit on Friday, driven by strength in its consumer banking business and a surge in equities trading.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=hI3ZIZUksTE:IVWNcqLMr3I:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=hI3ZIZUksTE:IVWNcqLMr3I:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=hI3ZIZUksTE:IVWNcqLMr3I:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=hI3ZIZUksTE:IVWNcqLMr3I:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=hI3ZIZUksTE:IVWNcqLMr3I:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/hI3ZIZUksTE"" height=""1"" width=""1"" alt=""""/>","Citigroup Inc  reported a higher-than-expected quarterly profit on Friday, driven by strength in its consumer banking business and a surge in equities trading.",businessNews,0
9,Trump orders review of U.S. Postal Service following criticism of Amazon,"WASHINGTON (Reuters) - U.S. President Donald Trump on Thursday ordered the creation of a task force to study the U.S. Postal Service and its financial difficulties, after recently claiming without evidence that deliveries for Amazon.com Inc  were costing the service money.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=hRTXiHbt-4M:oMj-m2zvads:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=hRTXiHbt-4M:oMj-m2zvads:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=hRTXiHbt-4M:oMj-m2zvads:F7zBnMyn0Lo"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/businessNews?a=hRTXiHbt-4M:oMj-m2zvads:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/businessNews?i=hRTXiHbt-4M:oMj-m2zvads:V_sGLiPBpWU"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/businessNews/~4/hRTXiHbt-4M"" height=""1"" width=""1"" alt=""""/>","U.S. President Donald Trump on Thursday ordered the creation of a task force to study the U.S. Postal Service and its financial difficulties, after recently claiming without evidence that deliveries for Amazon.com Inc  were costing the service money.",businessNews,0
